Algorithm,DataType,Size,Iterations,AvgTime_ns,ArrayMemory_bytes,ExtraMemory_bytes,TotalMemory_bytes
BubbleSort,Reverse,5000,10,115670460,20000,12,20012
InsertionSort,Reverse,5000,10,28610400,20000,12,20012
SelectionSort,Reverse,5000,10,31732850,20000,12,20012
MergeSort,Reverse,5000,100,1061489,20000,20000,40000
QuickSort,Reverse,5000,100,118848,20000,196,20196
HeapSort,Reverse,5000,100,860640,20000,12,20012
BubbleSort,NearlySorted,5000,10,48533900,20000,12,20012
InsertionSort,NearlySorted,5000,10,1825570,20000,12,20012
SelectionSort,NearlySorted,5000,10,31324160,20000,12,20012
MergeSort,NearlySorted,5000,100,1083968,20000,20000,40000
QuickSort,NearlySorted,5000,100,165502,20000,196,20196
HeapSort,NearlySorted,5000,100,918693,20000,12,20012
BubbleSort,FewUnique,5000,10,88080070,20000,12,20012
InsertionSort,FewUnique,5000,10,13233050,20000,12,20012
SelectionSort,FewUnique,5000,10,31291620,20000,12,20012
MergeSort,FewUnique,5000,100,1172696,20000,20000,40000
QuickSort,FewUnique,5000,100,404157,20000,196,20196
HeapSort,FewUnique,5000,100,862803,20000,12,20012
BubbleSort,Random,10000,10,409812030,40000,12,40012
InsertionSort,Random,10000,10,58202070,40000,12,40012
SelectionSort,Random,10000,10,126196460,40000,12,40012
MergeSort,Random,10000,100,2686919,40000,40000,80000
QuickSort,Random,10000,100,1222415,40000,212,40212
HeapSort,Random,10000,100,2205163,40000,12,40012
BubbleSort,Sorted,10000,10,0,40000,12,40012
InsertionSort,Sorted,10000,10,149760,40000,12,40012
SelectionSort,Sorted,10000,10,124341820,40000,12,40012
MergeSort,Sorted,10000,100,2066781,40000,40000,80000
QuickSort,Sorted,10000,100,274590,40000,212,40212
HeapSort,Sorted,10000,100,1883389,40000,12,40012
BubbleSort,Reverse,10000,10,464000910,40000,12,40012
InsertionSort,Reverse,10000,10,115075480,40000,12,40012
SelectionSort,Reverse,10000,10,127774500,40000,12,40012
MergeSort,Reverse,10000,100,2045966,40000,40000,80000
QuickSort,Reverse,10000,100,276276,40000,212,40212
HeapSort,Reverse,10000,100,1796014,40000,12,40012
BubbleSort,NearlySorted,10000,10,197191100,40000,12,40012
InsertionSort,NearlySorted,10000,10,7655270,40000,12,40012
SelectionSort,NearlySorted,10000,10,125393010,40000,12,40012
MergeSort,NearlySorted,10000,100,2187854,40000,40000,80000
QuickSort,NearlySorted,10000,100,337578,40000,212,40212
HeapSort,NearlySorted,10000,100,1995120,40000,12,40012
BubbleSort,FewUnique,10000,10,382049000,40000,12,40012
InsertionSort,FewUnique,10000,10,52360640,40000,12,40012
SelectionSort,FewUnique,10000,10,124499750,40000,12,40012
MergeSort,FewUnique,10000,100,2330911,40000,40000,80000
QuickSort,FewUnique,10000,100,753561,40000,212,40212
HeapSort,FewUnique,10000,100,1825006,40000,12,40012
BubbleSort,Random,50000,1,11346399900,200000,12,200012
InsertionSort,Random,50000,1,1481893100,200000,12,200012
SelectionSort,Random,50000,1,3131484400,200000,12,200012
MergeSort,Random,50000,10,15252980,200000,200000,400000
QuickSort,Random,50000,10,6516280,200000,249,200249
HeapSort,Random,50000,10,13118310,200000,12,200012
BubbleSort,Sorted,50000,1,0,200000,12,200012
InsertionSort,Sorted,50000,1,0,200000,12,200012
SelectionSort,Sorted,50000,1,3121368600,200000,12,200012
MergeSort,Sorted,50000,10,11028910,200000,200000,400000
QuickSort,Sorted,50000,10,1795440,200000,249,200249
HeapSort,Sorted,50000,10,10875470,200000,12,200012
BubbleSort,Reverse,50000,1,11651503700,200000,12,200012
InsertionSort,Reverse,50000,1,2905778900,200000,12,200012
SelectionSort,Reverse,50000,1,3189242200,200000,12,200012
MergeSort,Reverse,50000,10,10996010,200000,200000,400000
QuickSort,Reverse,50000,10,1795230,200000,249,200249
HeapSort,Reverse,50000,10,10541170,200000,12,200012
BubbleSort,NearlySorted,50000,1,3333691400,200000,12,200012
InsertionSort,NearlySorted,50000,1,112231300,200000,12,200012
SelectionSort,NearlySorted,50000,1,3098089200,200000,12,200012
MergeSort,NearlySorted,50000,10,11588290,200000,200000,400000
QuickSort,NearlySorted,50000,10,2076000,200000,249,200249
HeapSort,NearlySorted,50000,10,11592000,200000,12,200012
BubbleSort,FewUnique,50000,1,10473362700,200000,12,200012
InsertionSort,FewUnique,50000,1,1301794800,200000,12,200012
SelectionSort,FewUnique,50000,1,3111150600,200000,12,200012
MergeSort,FewUnique,50000,10,12657220,200000,200000,400000
QuickSort,FewUnique,50000,10,4602110,200000,249,200249
HeapSort,FewUnique,50000,10,10131620,200000,12,200012
